행정구역(시군구)별,2019,2020,2021,2022,2023
,총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
서울특별시,9729107,9668465,9509458,9428372,9386034
종로구,151290,149384,144683,141379,139417
중구,126171,125240,122499,120437,121312
용산구,228670,230040,222953,218650,213151
성동구,300889,293556,285990,281000,277361
광진구,351350,346682,339996,337416,335554
동대문구,346194,342837,337400,336644,341149
중랑구,397015,394702,387350,385318,382155
성북구,442650,437153,430528,430397,425602
강북구,313954,308055,299182,293660,288113
도봉구,333362,325257,317366,311694,306948
노원구,532905,523037,510956,503734,498213
은평구,480032,479835,473307,466746,466770
서대문구,309397,312173,304819,306337,306231
마포구,374035,371890,368905,364638,363697
양천구,458165,454251,447302,440881,436028
강서구,591796,580185,574315,569166,563058
구로구,406664,404408,396754,395315,392405
금천구,232810,231733,230811,229642,227481
영등포구,367678,379480,376837,375675,374794
동작구,395963,391220,385483,380596,378769
관악구,500094,495060,485699,486752,481956
서초구,430826,425126,412279,404325,407664
강남구,545169,539231,533042,529102,544873
송파구,675961,667960,658338,658801,654166
강동구,436067,459970,462664,460067,459167
