,2019,,2020,,2021,,2022,,2023,
,발생,검거,발생,검거,발생,검거,발생,검거,발생,검거
소계,103668,74805,92679,66548,80445,58012,90399,65097,86213,64823
종로구,3846,4117,3102,3343,2712,2755,3138,3284,2981,3485
중구,4327,2804,3411,2323,2861,2072,3071,2119,3348,2465
용산구,3313,2611,2969,2056,2381,1659,2967,2093,3021,2268
성동구,2512,1838,2362,1774,2112,1510,2194,1597,2023,1411
광진구,4011,2816,3601,2511,3087,2202,3619,2498,3424,2333
동대문구,3692,2818,3401,2465,2959,2113,3253,2231,2957,2301
중랑구,4268,3138,3726,2781,3210,2405,3599,2671,3324,2474
성북구,2877,2323,2567,1947,2411,1787,2749,2125,2411,1958
강북구,3838,3023,2770,2259,2301,1912,2832,2343,2497,2142
도봉구,2110,1497,2179,1490,1860,1294,2141,1569,1921,1406
노원구,4153,2964,3743,2581,3425,2302,3896,2641,3567,2607
은평구,3880,3000,3390,2531,3244,2423,3487,2658,3493,2678
서대문구,2943,2020,2533,1706,2278,1594,2374,1605,2385,1641
마포구,4842,3170,3688,2534,3540,2379,4096,2814,3834,2888
양천구,3214,2124,3216,2086,3015,2085,3169,2130,3019,2135
강서구,4924,3543,4415,3393,3896,3044,4663,3591,4296,3544
구로구,4707,3291,4175,2984,3486,2431,3857,2732,3737,2632
금천구,3105,2343,2598,1966,2439,1741,2577,1887,2240,1753
영등포구,5820,3787,5217,3371,4179,2777,4819,3186,4418,3387
동작구,3400,2195,3200,2086,2631,1829,2735,1741,2642,1763
관악구,5328,3810,5261,3858,4444,3134,4879,3411,4769,3496
서초구,5542,3750,4601,3052,3656,2439,4459,3098,4522,3049
강남구,7304,5069,7356,5245,6146,4397,6947,5020,6763,4992
송파구,5698,3799,5410,3544,4714,3266,5167,3409,5223,3520
강동구,4014,2955,3788,2662,3458,2462,3711,2644,3398,2495
